Time,Click alternative,Participant,Training,Correct target,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Red,Yellow,Dark green,Blue,2nd longest dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y,Calibration Median
14:55:21:528,Gaze and Click,1,0,1,1006,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,345,,660,,,,,,,,,,,,,,,,,,,,,,,,88.26295471,502.5,47,15,,,173.5449649
14:55:26:120,Gaze and Click,1,0,0,1576,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Music.htm,1041,,1576,,,,,,,,,,,,,,,,,,,,,,,,88.04478455,422.5,35,15,,,173.5449649
14:55:31:032,Gaze and Click,1,0,1,1886,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/alpha.htm,1138,,1886,,,,,,,,,,,,,,,,,,,,,,,,87.87384033,532.5,113,17,,,173.5449649
14:55:34:920,Gaze and Click,1,0,1,872,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/s.htm,640,,232,,,,,,,,,,,,,,,,,,,,,,,,702.5146484,125,27,24,,,173.5449649
14:55:38:736,Gaze and Click,1,0,1,764,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/v.htm,1059,,764,,,,,,,,,,,,,,,,,,,,,,,,776.6087646,125,28,24,,,173.5449649
14:55:42:720,Gaze and Click,1,0,0,951,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/v/Vanadium.htm,1058,,950,,,,,,,,,,,,,,,,,,,,,,,,496.65625,193.5,62,15,,,173.5449649
14:55:47:049,Gaze and Click,1,0,0,1185,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Mathematics.htm,1220,,1184,,,,,,,,,,,,,,,,,,,,,,,,88.36573029,402.5,73,15,,,173.5449649
14:55:50:945,Gaze and Click,1,0,0,876,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Mathematics.htm,645,,231,,,,,,,,,,,,,,,,,,,,,,,,88.36573029,402.5,73,15,,,173.5449649
14:55:55:528,Gaze and Click,1,0,0,1569,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,2371,,1569,,,,,,,,,,,,,,,,,,,,,,,,88.26295471,502.5,47,15,,,173.5449649
14:55:59:473,Gaze and Click,1,0,1,894,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.People.htm,653,,240,,,,,,,,,,,,,,,,,,,,,,,,87.97486877,442.5,41,15,,,173.5449649
14:56:08:106,Gaze and Click,1,0,1,5604,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.People.Mathematicians.htm,1310,,4293,,,,,,,,,,,,,,,,,,,,,,,,464.9853516,897,93,14,,,173.5449649
14:56:11:953,Gaze and Click,1,0,1,809,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/e/Emmy_Noether.htm,1834,,809,,,,,,,,,,,,,,,,,,,,,,,,446.5,405.5,109,19,,,173.5449649
14:56:15:857,Gaze and Click,1,0,0,709,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Art.htm,2936,,709,,,,,,,,,,,,,,,,,,,,,,,,88.19244385,202.5,19,15,,,173.5449649
14:56:19:986,Gaze and Click,1,0,1,1111,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.htm,804,,307,,,,,,,,,,,,,,,,,,,,,,,,88.45910645,181.5,63,17,,,173.5449649
14:56:21:082,Gaze and Click,1,0,0,2208,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.htm,1053,,43,,,,,,,,,,,,,,,,,,,,,,,,88.45910645,181.5,63,17,,,173.5449649
