Time,Click alternative,Participant,Training,Correct target,Link Density,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,2nd longest dwell,Total dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y
16:30:41:505,Multiple Confirm,1,0,1,4,4426,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Geography.htm,,,,,,,,4214,212,,0x808080ff,0,0,0,0,0,0,0,0,211,0,0,0,211,0,0,0,87.76922607,322.5,63,15,,
16:30:46:934,Multiple Confirm,1,0,1,5,2975,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Art.htm,,,,,,,,2615,359,,0x808080ff,0,0,0,0,0,0,0,0,359,0,359,0,0,0,0,0,88.19244385,202.5,19,15,,
16:30:53:693,Multiple Confirm,1,0,0,6,4320,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Religion.htm,,,,,,,,2282,2037,,0x808080ff,0,0,0,0,0,0,0,124,829,0,219,124,0,0,0,0,87.92285156,482.5,47,15,,
16:30:58:682,Multiple Confirm,1,0,1,4,2546,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,,,,,,,,2315,230,,0x808080ff,0,0,0,0,0,0,0,0,230,0,230,0,0,0,0,0,88.26295471,502.5,47,15,,
16:31:03:014,Multiple Confirm,1,0,1,4,1900,file:///C:/wikipedia-schools-3.0.1/wp/b/Blind_experiment.htm,,,,,,,,1670,230,,0x808080ff,0,0,0,0,0,0,0,0,229,0,229,0,0,0,0,0,691,615.5,122,19,,
16:31:07:865,Multiple Confirm,1,0,1,1,2414,file:///C:/wikipedia-schools-3.0.1/wp/m/Medicine.htm,,,,,,,,1881,533,,0x808080ff,0,0,0,0,0,0,0,0,287,287,0,0,0,0,0,0,983.1015625,410.5,67,19,,
16:31:12:984,Multiple Confirm,1,0,1,1,2654,file:///C:/wikipedia-schools-3.0.1/wp/h/Hippocrates.htm,,,,,,,,2290,363,,0x808080ff,0,0,0,0,0,0,0,0,363,363,0,0,0,0,0,0,284.4140625,714.5,89,19,,
16:31:17:479,Multiple Confirm,1,0,1,5,2038,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Everyday_life.htm,,,,,,,,1824,213,,0x808080ff,0,0,0,0,0,0,0,0,213,0,0,213,0,0,0,0,88.02263641,302.5,73,15,,
16:31:22:061,Multiple Confirm,1,0,0,5,2137,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Everyday_life.htm,,,,,,,,,2137,,0x808080ff,0,0,0,0,0,0,0,0,223,0,223,0,0,0,0,0,88.02263641,302.5,73,15,,
16:31:30:455,Multiple Confirm,1,0,1,6,5957,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Mathematics.htm,,,,,,,,1893,4063,,0x808080ff,0,0,0,0,0,0,0,60,1385,0,60,214,0,0,0,0,88.36573029,402.5,73,15,,
16:31:35:095,Multiple Confirm,1,0,1,3,2194,file:///C:/wikipedia-schools-3.0.1/wp/a/Abacus.htm,,,,,,,,1705,488,,0x808080ff,0,0,0,0,0,0,0,0,488,488,0,0,0,0,0,0,862,331.5,56,19,,
16:31:39:459,Multiple Confirm,1,0,1,2,1908,file:///C:/wikipedia-schools-3.0.1/wp/c/China.htm,,,,,,,390,1311,207,,0x808080ff,0,0,0,0,0,0,0,0,206,206,0,0,0,0,0,0,925.0546875,250.5,45,19,,
16:31:44:720,Multiple Confirm,1,0,1,6,2609,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,,,,,,,,2402,206,,0x808080ff,0,0,0,0,0,0,0,0,206,0,206,0,0,0,0,0,87.85051346,262.5,55,15,,
16:31:49:301,Multiple Confirm,1,0,1,6,2140,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.IT.htm,,,,,,,,1916,223,,0x808080ff,0,0,0,0,0,0,0,0,223,0,223,0,0,0,0,0,88.14930725,362.5,131,15,,
16:31:54:201,Multiple Confirm,1,0,1,1,2460,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.IT.Companies.htm,,,,,,,,1590,869,,0x808080ff,0,0,0,0,0,0,0,0,628,425,0,0,0,0,0,0,273.3778687,495,67,14,,
16:31:58:789,Multiple Confirm,1,0,1,4,2162,file:///C:/wikipedia-schools-3.0.1/wp/n/Nintendo.htm,,,,,,,29,1929,202,,0x808080ff,0,0,0,0,0,0,0,0,202,202,0,0,0,0,0,0,251.5,441.5,67,19,,
16:32:03:322,Multiple Confirm,1,0,1,6,2075,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.htm,,,,,,,,1870,204,,0x808080ff,0,0,0,0,0,0,0,0,204,0,204,0,0,0,0,0,87.80323029,282.5,131,15,,
